Date,AAPL,MSFT,AMZN,GOOGL,TSLA,META,JNJ,BAC,XOM,WMT
2017-01-17,27.65825080871582,56.359615325927734,40.486000061035156,41.089599609375,15.70533275604248,127.0865478515625,90.11236572265625,18.081104278564453,58.87554931640625,19.600393295288086
2017-01-18,27.65595054626465,56.332576751708984,40.374000549316406,41.16706848144531,15.890666961669922,127.13623809814453,89.97900390625,18.556703567504883,58.14768600463867,19.511585235595703
2017-01-19,27.607540130615234,56.15231704711914,40.45199966430664,40.9361572265625,16.250667572021484,126.76850891113281,89.58676147460938,18.47470474243164,57.10307312011719,19.3712100982666
2017-01-20,27.65825080871582,56.54890060424805,40.416500091552734,41.12485885620117,16.315332412719727,126.26163482666016,89.54755401611328,18.56490707397461,57.88487243652344,19.24516487121582
2017-01-23,27.67668914794922,56.74717712402344,40.89400100708008,41.932289123535156,16.594667434692383,128.1400146484375,89.35926055908203,18.49930191040039,57.26481628417969,19.093339920043945
2017-01-24,27.651338577270508,57.251922607421875,41.12200164794922,42.185543060302734,16.974000930786133,128.57736206054688,87.67265319824219,18.819107055664062,57.34571838378906,19.30819320678711
2017-01-25,28.0915584564209,57.39613723754883,41.82600021362305,42.62848663330078,16.96466636657715,130.67442321777344,88.48851013183594,19.163503646850586,57.51417922973633,19.16208839416504
2017-01-26,28.105392456054688,57.927913665771484,41.95750045776367,42.55548858642578,16.833999633789062,131.9664764404297,87.73542022705078,19.220903396606445,57.68941116333008,19.116254806518555
2017-01-27,28.107698440551758,59.288909912109375,41.78850173950195,41.96207809448242,16.863332748413086,131.37013244628906,88.94349670410156,19.155311584472656,57.62874221801758,18.809728622436523
2017-01-30,28.03394317626953,58.70304870605469,41.51900100708008,40.90934371948242,16.708667755126953,130.177490234375,88.74737548828125,18.819107055664062,57.19068145751953,19.027446746826172
2017-01-31,27.969404220581055,58.270408630371094,41.17399978637695,40.72859191894531,16.795333862304688,129.5215301513672,88.84152221679688,18.56490707397461,56.53696060180664,19.11911964416504
2017-02-01,29.67500114440918,57.306007385253906,41.61750030517578,40.4827880859375,16.615999221801758,132.41371154785156,88.8258285522461,18.7699031829834,55.896728515625,18.973026275634766
2017-02-02,29.624290466308594,56.93646240234375,41.997501373291016,40.632747650146484,16.770000457763672,130.03834533691406,89.0925521850586,18.630504608154297,56.24043273925781,19.107662200927734
2017-02-03,29.75105857849121,57.39613723754883,40.5099983215332,40.72561264038086,16.755332946777344,130.177490234375,89.14746856689453,19.097915649414062,56.301090240478516,19.05036735534668
2017-02-06,30.02994728088379,57.36008071899414,40.38199996948242,40.79960250854492,17.184667587280273,131.25088500976562,88.95919799804688,18.958507537841797,56.14607620239258,19.021724700927734
2017-02-07,30.31574821472168,57.170806884765625,40.625,41.177490234375,17.165332794189453,131.03221130371094,89.0219497680664,18.778104782104492,55.78214645385742,19.16208839416504
2017-02-08,30.43329620361328,57.08968734741211,40.98550033569336,41.20977020263672,17.472000122070312,133.37774658203125,88.95919799804688,18.58950424194336,55.414913177490234,19.42564582824707
2017-02-09,30.653200149536133,57.73863220214844,41.06800079345703,41.21870803833008,17.946666717529297,133.31813049316406,89.49264526367188,18.958507537841797,55.65974044799805,19.789464950561523
2017-02-10,30.583749771118164,57.6845588684082,41.37300109863281,41.456573486328125,17.948667526245117,133.36782836914062,90.40261840820312,18.92570686340332,56.12220764160156,19.48579978942871
2017-02-13,30.854597091674805,58.33351135253906,41.826499938964844,41.66066360473633,18.706666946411133,133.22869873046875,90.9046859741211,19.188106536865234,56.44865417480469,19.4141845703125
2017-02-14,31.25507354736328,58.5511360168457,41.81949996948242,41.71379089355469,18.73200035095215,133.02992248535156,91.28123474121094,19.729310989379883,56.326236724853516,19.669145584106445
2017-02-15,31.368494033813477,58.51486587524414,42.1349983215332,41.579227447509766,18.650667190551758,132.62242126464844,91.94019317626953,20.155715942382812,56.55748748779297,19.67774200439453
2017-02-16,31.331457138061523,58.505794525146484,42.207000732421875,41.820064544677734,17.93000030517578,133.01995849609375,92.6305160522461,20.155715942382812,55.97257995605469,19.729307174682617
2017-02-17,31.4171085357666,58.59647750854492,42.253501892089844,42.037559509277344,18.148666381835938,132.7118682861328,93.24242401123047,20.106510162353516,55.6053352355957,19.872541427612305
2017-02-21,31.643957138061523,58.47859191894531,42.821998596191406,42.17263412475586,18.492666244506836,132.90069580078125,93.87001037597656,20.319717407226562,55.69374084472656,20.468399047851562
2017-02-22,31.738874435424805,58.360721588134766,42.78049850463867,42.27641296386719,18.233999252319336,135.28599548339844,93.76016235351562,20.327911376953125,55.04085159301758,20.54288673400879
2017-02-23,31.604610443115234,58.59647750854492,42.609500885009766,42.258541107177734,17.06599998474121,134.53065490722656,95.47032165527344,20.155715942382812,55.61893844604492,20.42829704284668
2017-02-24,31.63471221923828,58.59647750854492,42.262001037597656,42.10013198852539,17.133333206176758,134.6101531982422,96.9154052734375,19.868709564208984,55.142852783203125,20.737682342529297
2017-02-27,31.697195053100586,58.24283218383789,42.43199920654297,42.19249725341797,16.415332794189453,135.57423400878906,96.65480041503906,20.147518157958984,55.455692291259766,20.551477432250977
2017-02-28,31.71108627319336,58.016136169433594,42.25199890136719,41.95711898803711,16.666000366210938,134.7095489501953,96.5047607421875,20.237712860107422,55.30607223510742,20.319440841674805
2017-03-01,32.35923767089844,58.886653900146484,42.65399932861328,42.54407501220703,16.667999267578125,136.57801818847656,97.80770874023438,20.97385597229004,56.46226119995117,20.181930541992188
2017-03-02,32.16712188720703,58.04335021972656,42.445499420166016,42.20143127441406,16.698667526245117,135.92208862304688,97.62610626220703,20.751781463623047,56.652687072753906,20.270736694335938
2017-03-03,32.3569221496582,58.26097869873047,42.49399948120117,42.1631965637207,16.771333694458008,136.32957458496094,97.75244903564453,20.924503326416016,56.08140563964844,20.06161117553711
2017-03-06,32.255069732666016,58.27910614013672,42.330501556396484,42.07331466674805,16.747333526611328,136.57801818847656,97.68925476074219,20.768226623535156,56.333030700683594,20.018634796142578
2017-03-07,32.29674530029297,58.39698028564453,42.30099868774414,42.26598358154297,16.57266616821289,136.45875549316406,97.78401947021484,20.735326766967773,56.12220764160156,20.015777587890625
2017-03-08,32.176368713378906,58.9319953918457,42.525001525878906,42.38963317871094,16.45800018310547,136.87620544433594,97.99724578857422,20.776453018188477,55.10884094238281,20.14274787902832
2017-03-09,32.102291107177734,58.69623565673828,42.650001525878906,42.59819412231445,16.32666778564453,137.3930206298828,99.45812225341797,20.850481033325195,55.54412078857422,20.160058975219727
2017-03-10,32.208778381347656,58.87759017944336,42.62300109863281,42.775474548339844,16.246000289916992,137.9396514892578,99.66343688964844,20.81757926940918,55.50333023071289,20.229328155517578
2017-03-13,32.22267150878906,58.6780891418457,42.72949981689453,42.932884216308594,16.411333084106445,138.74468994140625,100.0345687866211,20.809349060058594,55.37408447265625,20.186037063598633
